time,energy,cmmt,sstot,d12,d13,d14,d23,d24,d34,rg1,rg2,rg3,rg4
6649.000316,-277699.3242,3.747689,19.445804,1.297314,1.125849,1.36689,0.892049,1.860594,1.014191,0.723192,0.722549,0.710318,0.675256
6699.000318,-282131.0078,3.719061,21.264592,1.142249,1.383467,1.377493,1.13994,1.326717,1.090387,0.710569,0.735134,0.663082,0.676145
6749.000321,-284186.4688,3.827351,21.195256,1.091309,1.399573,1.416095,1.082674,1.316672,1.049513,0.717351,0.728861,0.653352,0.668324
6799.000323,-280074.5938,3.5894,21.115568,1.102386,1.428122,1.469686,1.089404,1.361589,1.148443,0.713888,0.744136,0.661111,0.676956
6849.000325,-279415.3867,3.933075,20.410877,1.004501,1.370617,1.364287,1.087902,1.310951,1.103513,0.722787,0.754262,0.67166,0.670934
6899.000328,-282607.8477,3.540149,18.114689,1.151228,1.32653,1.238349,1.145642,1.885591,1.092353,0.664855,0.687697,0.637669,0.633099
6949.00033,-283149.4297,3.607135,18.318334,1.1434,1.306679,1.279373,1.139637,1.840332,1.026864,0.658237,0.699444,0.654667,0.630745
6999.000332,-287961.1055,3.700695,17.949574,1.076853,1.304844,1.285192,1.114372,1.81853,1.032478,0.67728,0.700075,0.647135,0.664793
7049.000335,-282646.7617,3.557699,18.308475,1.041929,1.990441,1.33728,1.180843,1.201461,1.143206,0.659278,0.683768,0.630823,0.704333
7099.000337,-275959.0508,3.708161,18.586967,1.022077,1.920917,1.298883,1.152297,1.195987,1.108825,0.655306,0.674541,0.647437,0.733093
7149.00034,-285024.8086,3.488003,18.660882,1.175536,1.341278,1.300823,1.116371,1.87713,1.066883,0.666654,0.70276,0.629627,0.625629
7199.000342,-282765.2422,3.494747,19.743983,1.181894,1.341622,1.275439,1.108282,1.873603,1.090626,0.686719,0.716871,0.637258,0.640729
7249.000344,-284121.8418,3.413888,19.095611,1.167964,1.392133,1.351078,1.114784,1.856196,1.053225,0.688673,0.715534,0.628141,0.625717
7299.000347,-282410.7148,3.566903,18.083029,1.186289,1.303627,1.272947,1.108119,1.863509,1.058882,0.674883,0.727425,0.633759,0.628714
7349.000349,-281473.0703,3.595793,19.236351,0.997419,1.994713,1.335026,1.177439,1.184851,1.16404,0.655498,0.694538,0.617035,0.674959
7399.000351,-280857.1953,3.585807,23.058405,1.31763,1.192899,1.341154,0.921573,1.915924,1.080773,0.737996,0.719475,0.666116,0.657839
7449.000354,-279437.3359,3.447788,19.81071,1.269406,1.376267,1.304369,1.083044,1.819803,1.01111,0.662441,0.673633,0.660791,0.597782
7499.000356,-282446.8359,3.771378,20.563871,1.18051,1.094042,1.384199,0.953634,1.95578,1.076664,0.734559,0.737887,0.664368,0.670546
7549.000359,-283174.8203,3.501374,18.918174,1.136244,1.3469,1.301993,1.116996,1.833471,1.104298,0.685937,0.719397,0.641165,0.603182
7599.000361,-280612.4531,3.55077,17.605532,1.198789,1.336866,1.273529,1.122996,1.831951,1.016009,0.696363,0.709452,0.645023,0.642613
7649.000363,-285282.6953,3.559868,18.627661,1.181277,1.289178,1.28234,1.139597,1.881652,1.035486,0.677742,0.709454,0.636319,0.600133
7699.000366,-281513.4102,3.523729,19.448761,1.083651,1.957044,1.345965,1.164778,1.265833,1.085776,0.655989,0.657537,0.627313,0.689342
7749.000368,-287700.7461,3.480759,18.538604,1.131062,2.002863,1.341894,1.145903,1.225153,1.136906,0.665935,0.64698,0.682983,0.705171
7799.00037,-283758.0078,3.439287,19.958731,1.09173,1.971896,1.318895,1.154328,1.289315,1.168314,0.646771,0.669027,0.695302,0.679394
7849.000373,-285530.2871,3.426189,18.4811,1.290798,1.312961,1.215095,1.153684,1.932492,1.068784,0.680444,0.726064,0.631217,0.633174
7899.000375,-283744.5547,3.396059,19.181273,1.223976,1.305624,1.264234,1.213205,1.936586,1.058581,0.691781,0.693728,0.62394,0.622177
7949.000378,-286728.5273,3.243334,20.40149,1.21229,1.287221,1.408978,1.117498,2.0026,1.177162,0.668534,0.735563,0.625224,0.61112
7999.00038,-283936.6719,3.384217,19.837465,1.210114,1.307171,1.413117,1.084436,1.904186,1.07855,0.676726,0.725396,0.629214,0.619444
8049.000382,-282616.7578,3.540463,19.808896,1.196912,1.287431,1.286136,1.090458,1.873467,1.092293,0.67656,0.725775,0.632492,0.619877
8099.000385,-281338.0117,3.496346,20.03524,1.213386,1.300593,1.319115,1.086398,1.882759,1.068621,0.687699,0.727488,0.637481,0.629435
8149.000387,-286479.4141,3.597264,19.230764,1.166311,1.276785,1.310599,1.132487,1.869105,1.004089,0.687951,0.71596,0.634862,0.616599
8199.000389,-287481.6621,3.561703,18.50568,1.166224,1.281407,1.293511,1.122605,1.8811,1.06743,0.697832,0.73016,0.627193,0.639474
8249.000392,-283435.2461,3.128559,18.886403,1.053032,1.796779,1.484234,1.249499,1.350808,1.238542,0.642256,0.710852,0.657188,0.619816
8299.000394,-279641.0859,3.47228,17.659572,1.210011,1.330707,1.310246,1.092981,1.872712,1.070768,0.699541,0.69538,0.642235,0.64212
8349.000397,-280866.0781,3.490093,19.462277,1.189723,1.289561,1.297482,1.133152,1.930762,1.073762,0.686518,0.740841,0.636292,0.633953
8399.000399,-284533.5508,2.019094,18.608808,4.450415,1.245538,1.069205,3.604481,3.454394,1.290075,0.681895,1.087177,0.685341,0.653351
8449.000401,-282330.2578,1.934592,16.478785,4.345755,1.334406,1.09107,3.475237,3.511665,1.261293,0.726477,1.018176,0.669316,0.685125
8499.000404,-286610.1016,1.84069,17.460503,4.274281,1.372368,1.066041,3.399034,3.354958,1.339198,0.690193,1.044973,0.672317,0.656795
8549.000406,-283778.8242,3.15147,22.303195,1.155951,1.901997,1.349113,1.311153,1.333661,1.158559,0.621939,0.743336,0.606979,0.629668
8599.000408,-283412.2383,3.817917,20.622188,1.209439,1.197041,1.259144,0.905165,1.84199,1.084824,0.771188,0.732919,0.640219,0.701578
8649.000411,-282190.8867,3.76346,20.327291,1.217741,1.164533,1.294541,0.915212,1.894893,1.103667,0.751327,0.732232,0.676553,0.693275
8699.000413,-282938.5977,3.48496,19.89154,1.1697,1.832466,1.268576,1.206306,1.292241,1.082401,0.642173,0.731442,0.646185,0.646336
8749.000416,-282189.7227,3.378419,20.276751,1.160709,1.792438,1.374503,1.269977,1.273193,1.050957,0.645325,0.740095,0.647931,0.649988
8799.000418,-276150.9297,3.466312,19.578602,1.195934,1.891179,1.342692,1.215137,1.220471,1.038889,0.638825,0.717239,0.637113,0.653692
8849.00042,-281530.4727,3.130557,21.483938,1.174332,1.977265,1.399128,1.300868,1.296167,1.140502,0.633012,0.684148,0.620236,0.633103
8899.000423,-287693.2031,3.187494,20.383558,1.219035,1.984863,1.425058,1.235691,1.278757,1.099968,0.620955,0.661059,0.631164,0.643895
8949.000425,-280952.3398,3.211705,19.938157,1.230868,1.904925,1.345879,1.153557,1.280771,1.239436,0.63139,0.700019,0.63516,0.660425
8999.000427,-281047.3203,3.344088,19.829268,1.194537,1.87523,1.345609,1.201407,1.248369,1.149862,0.626337,0.671464,0.643757,0.652185
9049.00043,-282868.1914,3.289909,20.182825,1.196322,1.993039,1.373272,1.223471,1.197308,1.170223,0.651611,0.690069,0.609233,0.659045
9099.000432,-285137.3477,3.344292,20.314397,1.167131,1.887205,1.355813,1.211914,1.246436,1.155471,0.658207,0.690611,0.623608,0.660438
9149.000435,-286581.543,3.224489,20.681547,1.246943,1.98671,1.364651,1.184901,1.259008,1.164317,0.634929,0.668601,0.614839,0.654096
9199.000437,-284319.5508,3.25966,19.231913,1.22849,1.975813,1.368093,1.157762,1.243792,1.192809,0.632771,0.68446,0.63518,0.660052
9249.000439,-281277.5938,3.687945,21.719104,1.211242,1.141681,1.352146,0.944908,1.956065,1.11428,0.730353,0.720053,0.668925,0.66924
9299.000442,-283273.4414,3.596487,20.42121,1.275203,1.18978,1.319539,0.955361,1.948053,1.111774,0.726669,0.739189,0.688296,0.667641
9349.000444,-280735.6289,3.694154,22.940452,1.18947,1.192159,1.330799,0.974227,1.912668,1.092361,0.726723,0.719511,0.666207,0.692
9399.000446,-284192.3633,2.343614,18.984023,2.775378,1.095804,1.060958,2.846506,2.447476,1.233276,0.665206,1.014098,0.685176,0.625283
9449.000449,-279105.8047,2.205823,17.039603,2.759604,1.108824,1.140082,3.18734,2.557852,1.255762,0.691106,1.199981,0.686474,0.63179
